item,correct
P1,b
P2,a
P3,a
P4,a
P5,
P6,
P7,
P8,a
P9,b
P10,a
P11,b
P12,
MP1,a
MP2,a
MP3,b
MP4,b
MP5,c
MP6,a
MP7,b
MP8,a
MP9,a
MP10,a
LP1,a
LP2,a
LP3,a
LP4,a
LP5,b
LP6,a
LP7,a
LP8,a
OLP1,a
OLP2,c
OLP3,a
OLP4,c
OLP5,a
OLP6,a
S1,a
S2,b
S3,b
S4,b
S5,a
S6,a
C1,a
C2,b
C3,b
C4,b
C5,a
D1,b
D2,c
D3,b
D4,c
D5,a
D6,b
D7,d
D8,c
D9,b
D10,b
D11,d
D12,b
D13,a
D14,a
D15,b
DO1,a
DO2,
DO3,b
DO4,b
DO5,b
DO6,a
DO7,a
DO8,a
DO9,a
DO10,a
V1,b
V2,a
V3,a
V4,a
V5,a
V6,b
V7,b
V8,b
V9,a
V10,a
VD1,a
VD2,a
VD3,a
VD4,a
VD5,a
VD6,b
VD7,a
I1,b
I2,b
I3,a
I4,b
I5,a
I6,b
I7,b
I8,b
I9,a
UD1,b
PD1,b
PD2,b
K1,a
K2,b
K3,a
K4,b
ST1,a
ST2,c
ST3,
ST4,a
ST5,
ST6,b
E1,a
E2,a
E3,d
E4,b
E5,a
E6,d
E7,c
E8,c
E9,c
E10,b
O1,a
O2,a
O3,a
O4,a
O5,b
AO1,b
AO2,a
AO3,b
AO4,a
AO5,a
AO6,b
AO7,b
AE1,b
AE2,b
AE3,c
AE4,a
AE5,e
AE6,b
AE7,b
AE8,a
AE9,c
AE10,b
RO1,b
RO2,b
RO3,a
RO4,b
RO5,b
RO6,a
RO7,d
RE1,b
RE2,a
RE3,a
RE4,a
RE5,b
LO1,b
LO2,b
LO3,a
LO4,b
LO5,a
LO6,d
LE1,a
LE2,b
LE3,c
LE4,a
LE5,b
ASO1,a
ASO2,a
ASO3,b
ASO4,b
ASO5,a
ASE1,a
ASE2,a
ASE3,a
ASE4,b
ASE5,b
ASE6,a
ASE7,b
OPA1,a
OPA2,d
OPA3,a
OPA4,b
OPA5,c
OPA6,b
OPA7,a
OPA8,b
OPA9,b
OPA10,d
F1,b
F2,b
F3,b
F4,a
F5,a
F6,a
F7,a
F8,a
F9,b
F10,b
SC1,b
SC2,c
SC3,b
SC4,
SC5,a
SC6,b
PF1,b
PF2,a
PF3,b
PF4,b
PF5,a
PF6,b
PF7,b
CE1,b
CE2,d
CE3,a
CE4,b
CE5,a
CE6,c
CE7,b
SS1,b
SS2,a
SS3,a
SS4,c
SS5,d
SS6,b
SNGS1,a
SNGS2,c
SNGS3,b
SNGS4,a
SNGS5,a
MW1,a
MW2,a
MW3,b
MW4,a
MW5,b
MW6,a
MW7,b
MW8,a
IF1,b
IF2,a
IF3,a
IF4,b
IF5,a
IF6,c
IELSE1,a
IELSE2,a
IELSE3,b
IELSE4,a
IELSE5,a
IELSE6,d
IELSE7,d
IELSE8,a
IELSEIF1,a
IELSEIF2,d
IELSEIF3,c
IELSEIF4,a
IELSEIF5,c
IELSEIF6,b
IELSEIF7,d
IELSEIF8,b
ISTMT1,d
ISTMT2,b
ISTMT3,b
ISTMT4,a
ISTMT5,a
ISTMT6,a
ISTMT7,b
ISTMT8,b
ISTMT9,c
ISTMT10,d
ISTMT11,a
ISTMT12,a
ISNGL1,a
ISNGL2,b
ISNGL3,e
ISNGL4,b
ISNGL5,c
NITR1,a
NITR2,a
NITR3,a
NITR4,d
NITR5,a
W1,b
W2,a
W3,a
W4,c
W5,c
W6,b
W7,a
W8,b
W9,a
W10,b
DOL1,b
DOL2,a
DOL3,b
DOL4,b
DOL5,a
DOL6,b
DOL7,a
DOL8,d
DOL9,a
FOR1,d
FOR2,a
FOR3,b
FOR4,a
FOR5,c
FOR6,a
FOR7,b
SW1,a
SW2,a
SW3,a
SW4,a
SW5,e
SW6,a
SW7,c
SW8,a
SW9,c
SW10,c
SW11,c
DEF1,d
DEF2,d
DEF3,a
DEF4,d
DEF5,a
BRK1,a
BRK2,d
BRK3,a
BRK4,b
BRK5,b
BRK6,c
FNC1,b
FNC2,b
FNC3,d
FNC4,a
FNC5,b
FNC6,b
FNC7,b
FNC8,b
FNC9,c
FNC10,a
FNC11,a
FP1,d
FP2,b
FP3,b
FP4,b
FP5,a
FP6,b
FP7,a
FP8,a
FP9,b
FP10,a
FP11,a
FP12,b
FR1,d
FR2,b
FR3,c
FR4,a
FR5,b
FR6,a
FR7,b
FR8,b
FR9,a
FR10,b
FR11,b
FC1,a
FC2,a
FC3,b
FC4,a
FC5,c
FC6,a
FC7,a
FC8,a
FA1,c
FA2,c
FA3,a
FA4,
FA5,a
FA6,b
FA7,b
FFP1,a
FFP2,
FFP3,a
FFP4,a
FFP5,b
FFP6,a
ES1,
ES2,a
ES3,a
ES4,a
ES5,
ES6,a
ES7,a
